Código;Descripción;Unidad;Sub Grupo;Grupo
3495;FUCIDIN TOPICO CREMA 2% X 15 GR;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
3554;FUMIGADORA ROYAL CONDOR ALIADA 20 LT;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1270;FURACIN POMADA FRC X 40 GR;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
1103;GASA 100 YDS ;ROLLO;GASAS;MEDICOQUIRURGICOS
1106;GASA ESTERIL 3 X 3 SOBRE X 5 UN CUREBAND;SOBRE;GASAS;MEDICOQUIRURGICOS
1104;GASA ESTERIL 3 X 3 SOBRE X 5 UN GLOBAL;SOBRE;GASAS;MEDICOQUIRURGICOS
1109;GASA ESTERIL 3 X 3 SOBRE X 5 UN MEDICAL ;PAQUETE;GASAS;MEDICOQUIRURGICOS
1105;GASA ESTERIL 3 X 3 SOBRE X 5 UN ZIBOJECT;SOBRE;GASAS;MEDICOQUIRURGICOS
1519;GASA ESTERIL 4 X 4 SOBRE X 5 UN CURE BAND;PAQUETE;GASAS;MEDICOQUIRURGICOS
2405;GASA ESTERIL 4 X 4 SOBRE X 5 UN GLOBAL;SOBRE;GASAS;MEDICOQUIRURGICOS
2305;GASA ESTERIL 4 X 4 SOBRE X 5 UN SUPERTEX;SOBRE;GASAS;MEDICOQUIRURGICOS
2078;GASA N/E 3 X 3 GLOBAL PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
1287;GASA N/E 3 X 3 MEDISPO PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
1108;GASA N/E 3 X 3 SUPERTEX PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
2052;GASA N/E 4 X 4 ELITE MEDICAL PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
3648;GASA N/E 4 X 4 MEDICAL SUPPLIES PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
2304;GASA N/E 4 X 4 SUPERTEX PAQ X 200 UN;PAQUETE;GASAS;MEDICOQUIRURGICOS
3316;"GASA NO TEJIDA 4"" X 4"" GLOBAL PAQ X 200 UN";PAQUETE;GASAS;MEDICOQUIRURGICOS
2562;GAVETERO CERRADO PLASTICO;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
3812;GEL CONDUCTIVO BIOGEL X 3.800 ML;GALON;LIQUIDOS;MEDICOQUIRURGICOS
1713;GEL NUPREP LIMPIADOR 4 ONZAS;FRASCO;DESECHABLES;MEDICOQUIRURGICOS
2070;GEL ULTRASONIDO BIOGEL X 1.000 CC;LITRO;LIQUIDOS;MEDICOQUIRURGICOS
3704;GEL ULTRASONIDO BIOGEL X 250 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
3832;GELIFICANTE X 60 GR HOLANDINA;FRASCO;LABORATORIO;MEDICOQUIRURGICOS
2598;GLUCOMETRO ADVOCATE BMB-EA001A;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1668;GLUCOMETRO GLUCOQUICK TIRILLAS Y LANCETAS X 50 UN;KIT;EQUIPOS;MEDICOQUIRURGICOS
1860;GLUTAREX SOLUCION GALON 3M;GALON;LIQUIDOS;MEDICOQUIRURGICOS
1111;GORRO DESECHABLE REDONDO BLANCO;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
3248;GORRO TIPO MONJA EN MALLA;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
2241;GOTERO PLASTICO X 120 CC;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
2162;GRAPA PLASTICA NEGRA PAQ X 400 UN;PAQUETE;DESECHABLES;MEDICOQUIRURGICOS
2202;GUIA DE INTUBACION ENDOTRAQUEAL 6 FR REF 9-0204-11 SUN MED;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2176;GUIA PARA ENTUBACION AD 14 FR COVIDIEN;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2316;HEMOCULTIVO ADULTO MONOFASICO CAJA X 9 UN;CAJA;DESECHABLES;MEDICOQUIRURGICOS
3523;HIDROCORTISONA 100 MG AMP VITALIS;UNIDAD;MEDICAMENTOS;MEDICOQUIRURGICOS
3555;HIDROLAVADORA BLACK DECKER REF BW13-B3;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2836;HIELO MINERAL X 460 GR;FRASCO;MEDICAMENTOS;MEDICOQUIRURGICOS
1844;HISOPO NASOFANRINGEO PUNTA DE NYLON;UNIDAD;DESECHABLES;MEDICOQUIRURGICOS
3697;HISTEROMETRO SIMS RIGIDO;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1131;HUMIDIFICADOR 3 PSI ALTO VOLUMEN TAPA AZUL;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1275;HUMIDIFICADOR DE OXIGENO TAPA VERDE HUMI-MED;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1933;INCUBADORA DE TRANSPORTE PARA NEONATOS;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2333;INDICADOR A VAPOR MVI X 240 TIRAS BROWNE;UNIDAD;LABORATORIO;MEDICOQUIRURGICOS
1607;INHALOCAMARA ADULTO RESPIRANDO MEJOR;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
2040;INHALOCAMARA NEONATAL CON MASCARA;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1995;INHALOCAMARA PARA TRAQUEOSTOMIA AEROTRACH PLUS;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1994;INHALOCAMARA PEDIATRICA RESPIRANDO MEJOR;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1133;INSPIROMETRO DE INCENTIVOS CARDINAL HEALT;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1616;INSPIROMETRO DE INCENTIVOS R.M.;UNIDAD;EQUIPOS;MEDICOQUIRURGICOS
1134;INY DE LACTATO DE RINGER X 1000 ML;UNIDAD;SOLUCIONES;MEDICOQUIRURGICOS
1432;IODIGER ESPUMA X 120 ML QUIRUMEDICAS;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
1440;IODIGER ESPUMA X 60 ML;FRASCO;LIQUIDOS;MEDICOQUIRURGICOS
1401;IODIGER SOLUCION X 120 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
2419;IODIGER SOLUCION X 30 ML;FRASCO;LIQUIDOS;MEDICOQUIRURGICOS
2662;IODIGER SOLUCION X 500 CC;FRASCO;LIQUIDOS;MEDICOQUIRURGICOS
1439;IODIGER SOLUCION X 60 ML;FRASCO;LIQUIDOS;MEDICOQUIRURGICOS
1136;IOFOAM JABON QUIRURGICO X  3.785 CC;GALON;LIQUIDOS;MEDICOQUIRURGICOS
1533;IOFOAM JABON QUIRURGICO X 120 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
1535;IOPOVISOL SOLUCION TOPICA X 120 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
1534;IOPOVISOL SOLUCION TOPICA X 60 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
1532;ISODINE SOLUCION X 60 CC;UNIDAD;LIQUIDOS;MEDICOQUIRURGICOS
1020;JABON ANTIBACTERIAL CLORHEXIDINA AL 4%  X 500 ML ;BOTELLA;LIQUIDOS;MEDICOQUIRURGICOS
1777;JABON ANTISEPTICO CLORHEXIDINA AL 4% X 60 ML;FRASCO;LIQUIDOS;MEDICOQUIRURGICOS
1783;JABON MULTIENZIMATICO BONZYME X GALON;GALON;LIQUIDOS;MEDICOQUIRURGICOS
1559;JERINGA 1 ML 3P C/A 25 X 5/8 TUBERCULINA ALFA SAFE CJ X 100 UN ;CAJA;JERINGAS;MEDICOQUIRURGICOS
1147;JERINGA 1 ML 3P C/A 27 X 0.5 PRECISION;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1143;JERINGA 1 ML 3P C/A 27 X 0.5 RYMCO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1141;JERINGA 1 ML 3P C/A 29 X 0.5 INSULINA ALFA SAFE;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1153;"JERINGA 1 ML C/A 27G X 1.5"" MEDISPO ";UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1149;JERINGA 10 ML 3P C/A 21 X 1.5 ALFASAFE;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1144;JERINGA 10 ML 3P C/A 21 X 1.5 MEDISPO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1155;JERINGA 10 ML 3P C/A 21 X 1.5 NIPRO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1148;JERINGA 10 ML 3P C/A LUER LOCK RYMCO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
2015;JERINGA 10 ML 3P S/A NUBENCO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1138;JERINGA 2 ML 23 X 1 PRECISION;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
2289;JERINGA 2 ML 3P C/A 21 X 1.5 PRECISION;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1150;JERINGA 2 ML 3P C/A 23 X 1 DISPOCOL;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1146;JERINGA 2 ML 3P C/A 23 X 1.0 RYMCO LUER SLIP;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1560;JERINGA 20 ML 3P C/A 21 X 1.5 MEDISPO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1677;JERINGA 20 ML 3P C/A 21 X 1.5 RYMCO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1151;JERINGA 3 ML 2P C/A 23 X 1.0;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1154;JERINGA 3 ML 3P C/A 21 X 1.5 MEDISPO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1140;JERINGA 3 ML 3P C/A 21 X 1.5 NIPRO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1156;JERINGA 3 ML 3P C/A 21 X 1.5 PRECISION;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
1152;JERINGA 3 ML 3P C/A 21 X 1.5 RYMCO;UNIDAD;JERINGAS;MEDICOQUIRURGICOS
